"ID","Time","Score"
1,11/3/2014 0:00:00,10
2,11/4/2014 0:00:00,7
3,11/5/2014 0:00:00,9
4,11/6/2014 0:00:00,10
5,11/7/2014 0:00:00,8
6,11/8/2014 0:00:00,8
7,11/9/2014 0:00:00,8
8,11/10/2014 0:00:00,8
9,11/11/2014 0:00:00,10
10,11/12/2014 0:00:00,7
11,11/13/2014 0:00:00,8
12,11/14/2014 0:00:00,9
13,11/15/2014 0:00:00,9
14,11/16/2014 0:00:00,9
15,11/17/2014 0:00:00,9
16,11/18/2014 0:00:00,8
17,11/19/2014 0:00:00,7
18,11/20/2014 0:00:00,10
19,11/21/2014 0:00:00,9
20,11/22/2014 0:00:00,10
21,11/23/2014 0:00:00,9
22,11/24/2014 0:00:00,9
23,11/25/2014 0:00:00,9
24,11/26/2014 0:00:00,7
25,11/27/2014 0:00:00,9
26,11/28/2014 0:00:00,9
27,11/29/2014 0:00:00,9
28,11/30/2014 0:00:00,7
29,12/1/2014 0:00:00,7
30,12/2/2014 0:00:00,8
31,12/3/2014 0:00:00,8
32,12/4/2014 0:00:00,9
33,12/5/2014 0:00:00,9
34,12/6/2014 0:00:00,8
35,12/7/2014 0:00:00,8
36,12/8/2014 0:00:00,8
37,12/9/2014 0:00:00,9
38,12/10/2014 0:00:00,8
39,12/11/2014 0:00:00,9
40,12/12/2014 0:00:00,8
41,12/13/2014 0:00:00,8
42,12/14/2014 0:00:00,9
43,12/15/2014 0:00:00,9
44,12/16/2014 0:00:00,9
45,12/17/2014 0:00:00,8
46,12/18/2014 0:00:00,9
47,12/19/2014 0:00:00,8
48,12/20/2014 0:00:00,8
49,12/21/2014 0:00:00,7
50,12/22/2014 0:00:00,9
51,12/23/2014 0:00:00,9
52,12/24/2014 0:00:00,7
53,12/25/2014 0:00:00,8
54,12/26/2014 0:00:00,8
55,12/27/2014 0:00:00,8
56,12/28/2014 0:00:00,10
57,12/29/2014 0:00:00,8
58,12/30/2014 0:00:00,10
59,12/31/2014 0:00:00,9
60,1/1/2015 0:00:00,9
61,1/2/2015 0:00:00,9
62,1/3/2015 0:00:00,7
63,1/4/2015 0:00:00,9
64,1/5/2015 0:00:00,9
65,1/6/2015 0:00:00,10
66,1/7/2015 0:00:00,9
67,1/8/2015 0:00:00,8
68,1/9/2015 0:00:00,7
69,1/10/2015 0:00:00,9
70,1/11/2015 0:00:00,10
71,1/12/2015 0:00:00,7
72,1/13/2015 0:00:00,9
73,1/14/2015 0:00:00,9
74,1/15/2015 0:00:00,8
75,1/16/2015 0:00:00,8
76,1/17/2015 0:00:00,9
77,1/18/2015 0:00:00,9
78,1/19/2015 0:00:00,10
79,1/20/2015 0:00:00,10
80,1/21/2015 0:00:00,8
81,1/22/2015 0:00:00,8
82,1/23/2015 0:00:00,8
83,1/24/2015 0:00:00,9
84,1/25/2015 0:00:00,10
85,1/26/2015 0:00:00,9
86,1/27/2015 0:00:00,8
87,1/28/2015 0:00:00,9
88,1/29/2015 0:00:00,9
89,1/30/2015 0:00:00,8
90,1/31/2015 0:00:00,9
91,2/1/2015 0:00:00,9
92,2/2/2015 0:00:00,9
93,2/3/2015 0:00:00,9
94,2/4/2015 0:00:00,8
95,2/5/2015 0:00:00,8
96,2/6/2015 0:00:00,9
97,2/7/2015 0:00:00,8
98,2/8/2015 0:00:00,10
99,2/9/2015 0:00:00,10
100,2/10/2015 0:00:00,10
101,2/11/2015 0:00:00,7
102,2/12/2015 0:00:00,8
103,2/13/2015 0:00:00,10
104,2/14/2015 0:00:00,8
105,2/15/2015 0:00:00,9
106,2/16/2015 0:00:00,7
107,2/17/2015 0:00:00,10
108,2/18/2015 0:00:00,10
109,2/19/2015 0:00:00,8
110,2/20/2015 0:00:00,10
111,2/21/2015 0:00:00,9
112,2/22/2015 0:00:00,8
113,2/23/2015 0:00:00,9
114,2/24/2015 0:00:00,10
115,2/25/2015 0:00:00,8
116,2/26/2015 0:00:00,8
117,2/27/2015 0:00:00,10
118,2/28/2015 0:00:00,8
119,3/1/2015 0:00:00,9
120,3/2/2015 0:00:00,8
121,3/3/2015 0:00:00,8
122,3/4/2015 0:00:00,9
123,3/5/2015 0:00:00,9
124,3/6/2015 0:00:00,7
125,3/7/2015 0:00:00,9
126,3/8/2015 0:00:00,7
127,3/9/2015 0:00:00,8
128,3/10/2015 0:00:00,10
129,3/11/2015 0:00:00,7
130,3/12/2015 0:00:00,7
131,3/13/2015 0:00:00,9
132,3/14/2015 0:00:00,7
133,3/15/2015 0:00:00,7
134,3/16/2015 0:00:00,9
135,3/17/2015 0:00:00,9
136,3/18/2015 0:00:00,8
137,3/19/2015 0:00:00,10
138,3/20/2015 0:00:00,9
139,3/21/2015 0:00:00,8
140,3/22/2015 0:00:00,8
141,3/23/2015 0:00:00,9
142,3/24/2015 0:00:00,8
143,3/25/2015 0:00:00,8
144,3/26/2015 0:00:00,8
145,3/27/2015 0:00:00,9
146,3/28/2015 0:00:00,8
147,3/29/2015 0:00:00,7
148,3/30/2015 0:00:00,8
149,3/31/2015 0:00:00,8
150,4/1/2015 0:00:00,9
151,4/2/2015 0:00:00,9
152,4/3/2015 0:00:00,9
153,4/4/2015 0:00:00,9
154,4/5/2015 0:00:00,8
155,4/6/2015 0:00:00,10
156,4/7/2015 0:00:00,7
157,4/8/2015 0:00:00,8
158,4/9/2015 0:00:00,7
159,4/10/2015 0:00:00,7
160,4/11/2015 0:00:00,10
161,4/12/2015 0:00:00,8
162,4/13/2015 0:00:00,9
163,4/14/2015 0:00:00,8
164,4/15/2015 0:00:00,7
165,4/16/2015 0:00:00,9
166,4/17/2015 0:00:00,8
167,4/18/2015 0:00:00,10
168,4/19/2015 0:00:00,7
169,4/20/2015 0:00:00,7
170,4/21/2015 0:00:00,8
171,4/22/2015 0:00:00,9
172,4/23/2015 0:00:00,9
173,4/24/2015 0:00:00,8
174,4/25/2015 0:00:00,8
175,4/26/2015 0:00:00,8
176,4/27/2015 0:00:00,10
177,4/28/2015 0:00:00,10
178,4/29/2015 0:00:00,8
179,4/30/2015 0:00:00,9
180,5/1/2015 0:00:00,7
181,5/2/2015 0:00:00,7
182,5/3/2015 0:00:00,7
183,5/4/2015 0:00:00,10
184,5/5/2015 0:00:00,10
185,5/6/2015 0:00:00,9
186,5/7/2015 0:00:00,8
187,5/8/2015 0:00:00,9
188,5/9/2015 0:00:00,9
189,5/10/2015 0:00:00,9
190,5/11/2015 0:00:00,7
191,5/12/2015 0:00:00,9
192,5/13/2015 0:00:00,9
193,5/14/2015 0:00:00,9
194,5/15/2015 0:00:00,9
195,5/16/2015 0:00:00,10
