"ID","Time","Score"
1,11/3/2014 0:00:00,7
2,11/4/2014 0:00:00,6
3,11/5/2014 0:00:00,5
4,11/6/2014 0:00:00,8
5,11/7/2014 0:00:00,7
6,11/8/2014 0:00:00,7
7,11/9/2014 0:00:00,7
8,11/10/2014 0:00:00,6
9,11/11/2014 0:00:00,5
10,11/12/2014 0:00:00,6
11,11/13/2014 0:00:00,7
12,11/14/2014 0:00:00,7
13,11/15/2014 0:00:00,6
14,11/16/2014 0:00:00,8
15,11/17/2014 0:00:00,5
16,11/18/2014 0:00:00,6
17,11/19/2014 0:00:00,6
18,11/20/2014 0:00:00,6
19,11/21/2014 0:00:00,8
20,11/22/2014 0:00:00,8
21,11/23/2014 0:00:00,8
22,11/24/2014 0:00:00,8
23,11/25/2014 0:00:00,7
24,11/26/2014 0:00:00,5
25,11/27/2014 0:00:00,7
26,11/28/2014 0:00:00,8
27,11/29/2014 0:00:00,6
28,11/30/2014 0:00:00,8
29,12/1/2014 0:00:00,5
30,12/2/2014 0:00:00,6
31,12/3/2014 0:00:00,8
32,12/4/2014 0:00:00,5
33,12/5/2014 0:00:00,5
34,12/6/2014 0:00:00,6
35,12/7/2014 0:00:00,5
36,12/8/2014 0:00:00,6
37,12/9/2014 0:00:00,6
38,12/10/2014 0:00:00,5
39,12/11/2014 0:00:00,6
40,12/12/2014 0:00:00,6
41,12/13/2014 0:00:00,7
42,12/14/2014 0:00:00,6
43,12/15/2014 0:00:00,5
44,12/16/2014 0:00:00,8
45,12/17/2014 0:00:00,7
46,12/18/2014 0:00:00,8
47,12/19/2014 0:00:00,7
48,12/20/2014 0:00:00,8
49,12/21/2014 0:00:00,6
50,12/22/2014 0:00:00,6
51,12/23/2014 0:00:00,6
52,12/24/2014 0:00:00,5
53,12/25/2014 0:00:00,7
54,12/26/2014 0:00:00,5
55,12/27/2014 0:00:00,7
56,12/28/2014 0:00:00,5
57,12/29/2014 0:00:00,8
58,12/30/2014 0:00:00,6
59,12/31/2014 0:00:00,7
60,1/1/2015 0:00:00,6
61,1/2/2015 0:00:00,5
62,1/3/2015 0:00:00,6
63,1/4/2015 0:00:00,5
64,1/5/2015 0:00:00,6
65,1/6/2015 0:00:00,5
66,1/7/2015 0:00:00,7
67,1/8/2015 0:00:00,8
68,1/9/2015 0:00:00,8
69,1/10/2015 0:00:00,6
70,1/11/2015 0:00:00,5
71,1/12/2015 0:00:00,6
72,1/13/2015 0:00:00,7
73,1/14/2015 0:00:00,6
74,1/15/2015 0:00:00,6
75,1/16/2015 0:00:00,7
76,1/17/2015 0:00:00,5
77,1/18/2015 0:00:00,6
78,1/19/2015 0:00:00,7
79,1/20/2015 0:00:00,8
80,1/21/2015 0:00:00,6
81,1/22/2015 0:00:00,5
82,1/23/2015 0:00:00,5
83,1/24/2015 0:00:00,6
84,1/25/2015 0:00:00,7
85,1/26/2015 0:00:00,7
86,1/27/2015 0:00:00,7
87,1/28/2015 0:00:00,5
88,1/29/2015 0:00:00,5
89,1/30/2015 0:00:00,5
90,1/31/2015 0:00:00,6
91,2/1/2015 0:00:00,6
92,2/2/2015 0:00:00,7
93,2/3/2015 0:00:00,7
94,2/4/2015 0:00:00,5
95,2/5/2015 0:00:00,6
96,2/6/2015 0:00:00,8
97,2/7/2015 0:00:00,7
98,2/8/2015 0:00:00,6
99,2/9/2015 0:00:00,6
100,2/10/2015 0:00:00,5
101,2/11/2015 0:00:00,6
102,2/12/2015 0:00:00,8
103,2/13/2015 0:00:00,6
104,2/14/2015 0:00:00,8
105,2/15/2015 0:00:00,8
106,2/16/2015 0:00:00,6
107,2/17/2015 0:00:00,8
108,2/18/2015 0:00:00,5
109,2/19/2015 0:00:00,7
110,2/20/2015 0:00:00,7
111,2/21/2015 0:00:00,8
112,2/22/2015 0:00:00,7
113,2/23/2015 0:00:00,8
114,2/24/2015 0:00:00,6
115,2/25/2015 0:00:00,7
116,2/26/2015 0:00:00,6
117,2/27/2015 0:00:00,8
118,2/28/2015 0:00:00,6
119,3/1/2015 0:00:00,6
120,3/2/2015 0:00:00,6
121,3/3/2015 0:00:00,6
122,3/4/2015 0:00:00,6
123,3/5/2015 0:00:00,6
124,3/6/2015 0:00:00,6
125,3/7/2015 0:00:00,7
126,3/8/2015 0:00:00,6
127,3/9/2015 0:00:00,8
128,3/10/2015 0:00:00,7
129,3/11/2015 0:00:00,5
130,3/12/2015 0:00:00,7
131,3/13/2015 0:00:00,6
132,3/14/2015 0:00:00,7
133,3/15/2015 0:00:00,6
134,3/16/2015 0:00:00,8
135,3/17/2015 0:00:00,6
136,3/18/2015 0:00:00,7
137,3/19/2015 0:00:00,8
138,3/20/2015 0:00:00,6
139,3/21/2015 0:00:00,7
140,3/22/2015 0:00:00,6
141,3/23/2015 0:00:00,6
142,3/24/2015 0:00:00,6
143,3/25/2015 0:00:00,5
144,3/26/2015 0:00:00,8
145,3/27/2015 0:00:00,7
146,3/28/2015 0:00:00,8
147,3/29/2015 0:00:00,8
148,3/30/2015 0:00:00,7
149,3/31/2015 0:00:00,6
150,4/1/2015 0:00:00,7
151,4/2/2015 0:00:00,8
152,4/3/2015 0:00:00,5
153,4/4/2015 0:00:00,6
154,4/5/2015 0:00:00,6
155,4/6/2015 0:00:00,7
156,4/7/2015 0:00:00,8
157,4/8/2015 0:00:00,6
158,4/9/2015 0:00:00,6
159,4/10/2015 0:00:00,6
160,4/11/2015 0:00:00,7
161,4/12/2015 0:00:00,6
162,4/13/2015 0:00:00,8
163,4/14/2015 0:00:00,5
164,4/15/2015 0:00:00,7
165,4/16/2015 0:00:00,8
166,4/17/2015 0:00:00,7
167,4/18/2015 0:00:00,7
168,4/19/2015 0:00:00,7
169,4/20/2015 0:00:00,5
170,4/21/2015 0:00:00,5
171,4/22/2015 0:00:00,6
172,4/23/2015 0:00:00,7
173,4/24/2015 0:00:00,8
174,4/25/2015 0:00:00,7
175,4/26/2015 0:00:00,7
176,4/27/2015 0:00:00,8
177,4/28/2015 0:00:00,8
178,4/29/2015 0:00:00,5
179,4/30/2015 0:00:00,6
180,5/1/2015 0:00:00,8
181,5/2/2015 0:00:00,5
182,5/3/2015 0:00:00,5
183,5/4/2015 0:00:00,6
184,5/5/2015 0:00:00,5
185,5/6/2015 0:00:00,8
186,5/7/2015 0:00:00,6
187,5/8/2015 0:00:00,6
188,5/9/2015 0:00:00,7
189,5/10/2015 0:00:00,6
190,5/11/2015 0:00:00,6
191,5/12/2015 0:00:00,6
192,5/13/2015 0:00:00,5
193,5/14/2015 0:00:00,7
194,5/15/2015 0:00:00,6
195,5/16/2015 0:00:00,6
196,5/17/2015 0:00:00,7
197,5/18/2015 0:00:00,5
198,5/19/2015 0:00:00,7
199,5/20/2015 0:00:00,8
200,5/21/2015 0:00:00,7
201,5/22/2015 0:00:00,6
202,5/23/2015 0:00:00,7
203,5/24/2015 0:00:00,7
204,5/25/2015 0:00:00,6
205,5/26/2015 0:00:00,7
206,5/27/2015 0:00:00,6
207,5/28/2015 0:00:00,5
208,5/29/2015 0:00:00,5
209,5/30/2015 0:00:00,8
210,5/31/2015 0:00:00,6
211,6/1/2015 0:00:00,7
212,6/2/2015 0:00:00,7
213,6/3/2015 0:00:00,5
214,6/4/2015 0:00:00,6
215,6/5/2015 0:00:00,7
216,6/6/2015 0:00:00,5
217,6/7/2015 0:00:00,6
218,6/8/2015 0:00:00,6
219,6/9/2015 0:00:00,8
220,6/10/2015 0:00:00,7
221,6/11/2015 0:00:00,8
222,6/12/2015 0:00:00,8
223,6/13/2015 0:00:00,7
224,6/14/2015 0:00:00,5
225,6/15/2015 0:00:00,8
226,6/16/2015 0:00:00,6
227,6/17/2015 0:00:00,6
228,6/18/2015 0:00:00,6
229,6/19/2015 0:00:00,6
230,6/20/2015 0:00:00,7
231,6/21/2015 0:00:00,6
232,6/22/2015 0:00:00,6
233,6/23/2015 0:00:00,8
234,6/24/2015 0:00:00,6
235,6/25/2015 0:00:00,7
236,6/26/2015 0:00:00,6
237,6/27/2015 0:00:00,6
238,6/28/2015 0:00:00,6
239,6/29/2015 0:00:00,5
240,6/30/2015 0:00:00,8
241,7/1/2015 0:00:00,8
242,7/2/2015 0:00:00,6
243,7/3/2015 0:00:00,8
244,7/4/2015 0:00:00,8
245,7/5/2015 0:00:00,5
246,7/6/2015 0:00:00,6
247,7/7/2015 0:00:00,6
248,7/8/2015 0:00:00,6
249,7/9/2015 0:00:00,8
250,7/10/2015 0:00:00,8
251,7/11/2015 0:00:00,8
252,7/12/2015 0:00:00,5
253,7/13/2015 0:00:00,8
254,7/14/2015 0:00:00,5
255,7/15/2015 0:00:00,7
256,7/16/2015 0:00:00,7
257,7/17/2015 0:00:00,5
258,7/18/2015 0:00:00,7
259,7/19/2015 0:00:00,8
260,7/20/2015 0:00:00,8
261,7/21/2015 0:00:00,7
262,7/22/2015 0:00:00,8
263,7/23/2015 0:00:00,8
264,7/24/2015 0:00:00,7
265,7/25/2015 0:00:00,8
266,7/26/2015 0:00:00,6
267,7/27/2015 0:00:00,7
268,7/28/2015 0:00:00,6
269,7/29/2015 0:00:00,5
270,7/30/2015 0:00:00,5
271,7/31/2015 0:00:00,5
272,8/1/2015 0:00:00,5
273,8/2/2015 0:00:00,6
274,8/3/2015 0:00:00,5
275,8/4/2015 0:00:00,6
276,8/5/2015 0:00:00,5
277,8/6/2015 0:00:00,7
278,8/7/2015 0:00:00,6
279,8/8/2015 0:00:00,7
280,8/9/2015 0:00:00,7
281,8/10/2015 0:00:00,5
282,8/11/2015 0:00:00,6
283,8/12/2015 0:00:00,7
284,8/13/2015 0:00:00,6
285,8/14/2015 0:00:00,7
286,8/15/2015 0:00:00,6
287,8/16/2015 0:00:00,6
288,8/17/2015 0:00:00,8
289,8/18/2015 0:00:00,5
290,8/19/2015 0:00:00,6
291,8/20/2015 0:00:00,7
292,8/21/2015 0:00:00,7
293,8/22/2015 0:00:00,7
294,8/23/2015 0:00:00,6
295,8/24/2015 0:00:00,7
296,8/25/2015 0:00:00,8
297,8/26/2015 0:00:00,7
298,8/27/2015 0:00:00,8
299,8/28/2015 0:00:00,6
300,8/29/2015 0:00:00,7
301,8/30/2015 0:00:00,8
302,8/31/2015 0:00:00,7
303,9/1/2015 0:00:00,5
304,9/2/2015 0:00:00,5
305,9/3/2015 0:00:00,5
306,9/4/2015 0:00:00,8
307,9/5/2015 0:00:00,7
308,9/6/2015 0:00:00,7
309,9/7/2015 0:00:00,7
310,9/8/2015 0:00:00,7
311,9/9/2015 0:00:00,6
312,9/10/2015 0:00:00,7
313,9/11/2015 0:00:00,8
314,9/12/2015 0:00:00,7
315,9/13/2015 0:00:00,8
316,9/14/2015 0:00:00,8
317,9/15/2015 0:00:00,7
318,9/16/2015 0:00:00,6
319,9/17/2015 0:00:00,6
320,9/18/2015 0:00:00,8
321,9/19/2015 0:00:00,5
322,9/20/2015 0:00:00,6
323,9/21/2015 0:00:00,6
324,9/22/2015 0:00:00,6
325,9/23/2015 0:00:00,5
326,9/24/2015 0:00:00,7
327,9/25/2015 0:00:00,5
328,9/26/2015 0:00:00,7
329,9/27/2015 0:00:00,5
330,9/28/2015 0:00:00,8
331,9/29/2015 0:00:00,6
332,9/30/2015 0:00:00,7
333,10/1/2015 0:00:00,8
334,10/2/2015 0:00:00,6
335,10/3/2015 0:00:00,6
336,10/4/2015 0:00:00,7
337,10/5/2015 0:00:00,6
338,10/6/2015 0:00:00,6
339,10/7/2015 0:00:00,8
340,10/8/2015 0:00:00,7
341,10/9/2015 0:00:00,6
342,10/10/2015 0:00:00,8
343,10/11/2015 0:00:00,5
344,10/12/2015 0:00:00,7
345,10/13/2015 0:00:00,7
346,10/14/2015 0:00:00,6
347,10/15/2015 0:00:00,6
348,10/16/2015 0:00:00,6
349,10/17/2015 0:00:00,7
350,10/18/2015 0:00:00,8
351,10/19/2015 0:00:00,6
352,10/20/2015 0:00:00,7
353,10/21/2015 0:00:00,5
354,10/22/2015 0:00:00,6
355,10/23/2015 0:00:00,7
356,10/24/2015 0:00:00,7
357,10/25/2015 0:00:00,5
358,10/26/2015 0:00:00,7
359,10/27/2015 0:00:00,8
360,10/28/2015 0:00:00,6
361,10/29/2015 0:00:00,7
362,10/30/2015 0:00:00,6
363,10/31/2015 0:00:00,7
364,11/1/2015 0:00:00,6
365,11/2/2015 0:00:00,6
366,11/3/2015 0:00:00,8
367,11/4/2015 0:00:00,6
368,11/5/2015 0:00:00,8
369,11/6/2015 0:00:00,6
370,11/7/2015 0:00:00,7
371,11/8/2015 0:00:00,8
372,11/9/2015 0:00:00,7
373,11/10/2015 0:00:00,7
