"ID","Time","Score"
1,11/3/2014 0:00:00,7
2,11/4/2014 0:00:00,6
3,11/5/2014 0:00:00,7
4,11/6/2014 0:00:00,7
5,11/7/2014 0:00:00,8
6,11/8/2014 0:00:00,7
7,11/9/2014 0:00:00,5
8,11/10/2014 0:00:00,5
9,11/11/2014 0:00:00,6
10,11/12/2014 0:00:00,7
11,11/13/2014 0:00:00,6
12,11/14/2014 0:00:00,5
13,11/15/2014 0:00:00,8
14,11/16/2014 0:00:00,7
15,11/17/2014 0:00:00,5
16,11/18/2014 0:00:00,8
17,11/19/2014 0:00:00,7
18,11/20/2014 0:00:00,6
19,11/21/2014 0:00:00,7
20,11/22/2014 0:00:00,7
21,11/23/2014 0:00:00,6
22,11/24/2014 0:00:00,6
23,11/25/2014 0:00:00,7
24,11/26/2014 0:00:00,7
25,11/27/2014 0:00:00,6
26,11/28/2014 0:00:00,6
27,11/29/2014 0:00:00,6
28,11/30/2014 0:00:00,5
29,12/1/2014 0:00:00,7
30,12/2/2014 0:00:00,5
31,12/3/2014 0:00:00,6
32,12/4/2014 0:00:00,6
33,12/5/2014 0:00:00,6
34,12/6/2014 0:00:00,7
35,12/7/2014 0:00:00,7
36,12/8/2014 0:00:00,6
37,12/9/2014 0:00:00,8
38,12/10/2014 0:00:00,7
39,12/11/2014 0:00:00,8
40,12/12/2014 0:00:00,5
41,12/13/2014 0:00:00,7
42,12/14/2014 0:00:00,6
43,12/15/2014 0:00:00,6
44,12/16/2014 0:00:00,6
45,12/17/2014 0:00:00,7
46,12/18/2014 0:00:00,5
47,12/19/2014 0:00:00,7
48,12/20/2014 0:00:00,7
49,12/21/2014 0:00:00,5
50,12/22/2014 0:00:00,6
51,12/23/2014 0:00:00,7
52,12/24/2014 0:00:00,6
53,12/25/2014 0:00:00,5
54,12/26/2014 0:00:00,6
55,12/27/2014 0:00:00,5
56,12/28/2014 0:00:00,7
57,12/29/2014 0:00:00,5
58,12/30/2014 0:00:00,6
59,12/31/2014 0:00:00,7
60,1/1/2015 0:00:00,6
61,1/2/2015 0:00:00,5
62,1/3/2015 0:00:00,7
63,1/4/2015 0:00:00,6
64,1/5/2015 0:00:00,7
65,1/6/2015 0:00:00,7
66,1/7/2015 0:00:00,6
67,1/8/2015 0:00:00,7
68,1/9/2015 0:00:00,5
69,1/10/2015 0:00:00,5
70,1/11/2015 0:00:00,5
71,1/12/2015 0:00:00,5
72,1/13/2015 0:00:00,8
73,1/14/2015 0:00:00,6
74,1/15/2015 0:00:00,6
75,1/16/2015 0:00:00,7
76,1/17/2015 0:00:00,6
77,1/18/2015 0:00:00,7
78,1/19/2015 0:00:00,7
79,1/20/2015 0:00:00,6
80,1/21/2015 0:00:00,7
81,1/22/2015 0:00:00,7
82,1/23/2015 0:00:00,5
83,1/24/2015 0:00:00,7
84,1/25/2015 0:00:00,8
85,1/26/2015 0:00:00,7
86,1/27/2015 0:00:00,8
87,1/28/2015 0:00:00,6
88,1/29/2015 0:00:00,5
89,1/30/2015 0:00:00,7
90,1/31/2015 0:00:00,7
91,2/1/2015 0:00:00,8
92,2/2/2015 0:00:00,7
93,2/3/2015 0:00:00,6
94,2/4/2015 0:00:00,5
95,2/5/2015 0:00:00,7
96,2/6/2015 0:00:00,8
97,2/7/2015 0:00:00,8
98,2/8/2015 0:00:00,6
99,2/9/2015 0:00:00,8
100,2/10/2015 0:00:00,6
101,2/11/2015 0:00:00,7
102,2/12/2015 0:00:00,7
103,2/13/2015 0:00:00,5
104,2/14/2015 0:00:00,8
105,2/15/2015 0:00:00,8
106,2/16/2015 0:00:00,7
107,2/17/2015 0:00:00,7
108,2/18/2015 0:00:00,5
109,2/19/2015 0:00:00,6
110,2/20/2015 0:00:00,5
111,2/21/2015 0:00:00,7
112,2/22/2015 0:00:00,6
113,2/23/2015 0:00:00,7
114,2/24/2015 0:00:00,6
115,2/25/2015 0:00:00,7
116,2/26/2015 0:00:00,6
117,2/27/2015 0:00:00,7
118,2/28/2015 0:00:00,5
119,3/1/2015 0:00:00,7
120,3/2/2015 0:00:00,5
121,3/3/2015 0:00:00,7
122,3/4/2015 0:00:00,8
123,3/5/2015 0:00:00,8
124,3/6/2015 0:00:00,7
125,3/7/2015 0:00:00,6
126,3/8/2015 0:00:00,5
127,3/9/2015 0:00:00,6
128,3/10/2015 0:00:00,8
129,3/11/2015 0:00:00,6
130,3/12/2015 0:00:00,6
131,3/13/2015 0:00:00,7
132,3/14/2015 0:00:00,7
133,3/15/2015 0:00:00,8
134,3/16/2015 0:00:00,8
135,3/17/2015 0:00:00,5
136,3/18/2015 0:00:00,6
137,3/19/2015 0:00:00,5
138,3/20/2015 0:00:00,7
139,3/21/2015 0:00:00,8
140,3/22/2015 0:00:00,6
141,3/23/2015 0:00:00,7
142,3/24/2015 0:00:00,6
143,3/25/2015 0:00:00,7
144,3/26/2015 0:00:00,6
145,3/27/2015 0:00:00,8
146,3/28/2015 0:00:00,5
147,3/29/2015 0:00:00,6
148,3/30/2015 0:00:00,5
149,3/31/2015 0:00:00,7
150,4/1/2015 0:00:00,7
151,4/2/2015 0:00:00,6
152,4/3/2015 0:00:00,7
153,4/4/2015 0:00:00,6
154,4/5/2015 0:00:00,7
155,4/6/2015 0:00:00,5
156,4/7/2015 0:00:00,7
157,4/8/2015 0:00:00,8
158,4/9/2015 0:00:00,5
159,4/10/2015 0:00:00,8
160,4/11/2015 0:00:00,7
161,4/12/2015 0:00:00,6
162,4/13/2015 0:00:00,6
163,4/14/2015 0:00:00,6
164,4/15/2015 0:00:00,7
165,4/16/2015 0:00:00,5
166,4/17/2015 0:00:00,7
167,4/18/2015 0:00:00,8
168,4/19/2015 0:00:00,6
169,4/20/2015 0:00:00,7
170,4/21/2015 0:00:00,5
171,4/22/2015 0:00:00,5
172,4/23/2015 0:00:00,6
173,4/24/2015 0:00:00,5
174,4/25/2015 0:00:00,7
175,4/26/2015 0:00:00,7
176,4/27/2015 0:00:00,7
177,4/28/2015 0:00:00,7
178,4/29/2015 0:00:00,8
179,4/30/2015 0:00:00,6
180,5/1/2015 0:00:00,7
181,5/2/2015 0:00:00,7
182,5/3/2015 0:00:00,6
183,5/4/2015 0:00:00,7
184,5/5/2015 0:00:00,8
185,5/6/2015 0:00:00,5
186,5/7/2015 0:00:00,7
187,5/8/2015 0:00:00,6
188,5/9/2015 0:00:00,6
189,5/10/2015 0:00:00,7
190,5/11/2015 0:00:00,7
191,5/12/2015 0:00:00,7
192,5/13/2015 0:00:00,8
193,5/14/2015 0:00:00,7
194,5/15/2015 0:00:00,7
195,5/16/2015 0:00:00,7
196,5/17/2015 0:00:00,6
197,5/18/2015 0:00:00,7
198,5/19/2015 0:00:00,7
199,5/20/2015 0:00:00,5
200,5/21/2015 0:00:00,6
201,5/22/2015 0:00:00,7
202,5/23/2015 0:00:00,8
203,5/24/2015 0:00:00,7
204,5/25/2015 0:00:00,7
205,5/26/2015 0:00:00,5
206,5/27/2015 0:00:00,5
207,5/28/2015 0:00:00,7
208,5/29/2015 0:00:00,6
209,5/30/2015 0:00:00,6
210,5/31/2015 0:00:00,6
211,6/1/2015 0:00:00,6
212,6/2/2015 0:00:00,6
213,6/3/2015 0:00:00,5
214,6/4/2015 0:00:00,7
215,6/5/2015 0:00:00,6
216,6/6/2015 0:00:00,7
217,6/7/2015 0:00:00,7
218,6/8/2015 0:00:00,7
219,6/9/2015 0:00:00,8
220,6/10/2015 0:00:00,6
221,6/11/2015 0:00:00,6
222,6/12/2015 0:00:00,6
223,6/13/2015 0:00:00,7
224,6/14/2015 0:00:00,8
225,6/15/2015 0:00:00,7
226,6/16/2015 0:00:00,5
227,6/17/2015 0:00:00,6
228,6/18/2015 0:00:00,7
229,6/19/2015 0:00:00,6
230,6/20/2015 0:00:00,5
231,6/21/2015 0:00:00,7
232,6/22/2015 0:00:00,7
233,6/23/2015 0:00:00,5
234,6/24/2015 0:00:00,5
235,6/25/2015 0:00:00,6
236,6/26/2015 0:00:00,7
237,6/27/2015 0:00:00,5
238,6/28/2015 0:00:00,8
239,6/29/2015 0:00:00,5
240,6/30/2015 0:00:00,5
241,7/1/2015 0:00:00,6
242,7/2/2015 0:00:00,7
243,7/3/2015 0:00:00,7
244,7/4/2015 0:00:00,7
245,7/5/2015 0:00:00,6
246,7/6/2015 0:00:00,5
247,7/7/2015 0:00:00,5
248,7/8/2015 0:00:00,8
249,7/9/2015 0:00:00,8
250,7/10/2015 0:00:00,5
251,7/11/2015 0:00:00,8
252,7/12/2015 0:00:00,8
253,7/13/2015 0:00:00,8
254,7/14/2015 0:00:00,6
255,7/15/2015 0:00:00,5
256,7/16/2015 0:00:00,7
257,7/17/2015 0:00:00,5
258,7/18/2015 0:00:00,6
259,7/19/2015 0:00:00,6
260,7/20/2015 0:00:00,6
261,7/21/2015 0:00:00,6
262,7/22/2015 0:00:00,8
263,7/23/2015 0:00:00,8
264,7/24/2015 0:00:00,5
265,7/25/2015 0:00:00,7
266,7/26/2015 0:00:00,6
267,7/27/2015 0:00:00,5
268,7/28/2015 0:00:00,3
269,7/29/2015 0:00:00,2
270,7/30/2015 0:00:00,2
271,7/31/2015 0:00:00,3
272,8/1/2015 0:00:00,5
273,8/2/2015 0:00:00,2
274,8/3/2015 0:00:00,4
275,8/4/2015 0:00:00,4
276,8/5/2015 0:00:00,3
277,8/6/2015 0:00:00,2
278,8/7/2015 0:00:00,3
279,8/8/2015 0:00:00,3
280,8/9/2015 0:00:00,5
281,8/10/2015 0:00:00,1
282,8/11/2015 0:00:00,1
283,8/12/2015 0:00:00,2
284,8/13/2015 0:00:00,4
285,8/14/2015 0:00:00,2
286,8/15/2015 0:00:00,4
287,8/16/2015 0:00:00,5
288,8/17/2015 0:00:00,4
289,8/18/2015 0:00:00,5
290,8/19/2015 0:00:00,3
291,8/20/2015 0:00:00,4
292,8/21/2015 0:00:00,3
293,8/22/2015 0:00:00,3
294,8/23/2015 0:00:00,2
295,8/24/2015 0:00:00,4
296,8/25/2015 0:00:00,2
297,8/26/2015 0:00:00,3
298,8/27/2015 0:00:00,3
299,8/28/2015 0:00:00,5
300,8/29/2015 0:00:00,1
301,8/30/2015 0:00:00,4
302,8/31/2015 0:00:00,5
303,9/1/2015 0:00:00,2
304,9/2/2015 0:00:00,2
305,9/3/2015 0:00:00,2
306,9/4/2015 0:00:00,2
307,9/5/2015 0:00:00,2
308,9/6/2015 0:00:00,3
309,9/7/2015 0:00:00,2
310,9/8/2015 0:00:00,2
311,9/9/2015 0:00:00,5
312,9/10/2015 0:00:00,2
313,9/11/2015 0:00:00,3
314,9/12/2015 0:00:00,4
315,9/13/2015 0:00:00,2
316,9/14/2015 0:00:00,2
317,9/15/2015 0:00:00,4
318,9/16/2015 0:00:00,5
319,9/17/2015 0:00:00,4
320,9/18/2015 0:00:00,4
321,9/19/2015 0:00:00,5
322,9/20/2015 0:00:00,3
323,9/21/2015 0:00:00,4
324,9/22/2015 0:00:00,1
325,9/23/2015 0:00:00,2
326,9/24/2015 0:00:00,4
327,9/25/2015 0:00:00,4
328,9/26/2015 0:00:00,2
329,9/27/2015 0:00:00,4
330,9/28/2015 0:00:00,5
331,9/29/2015 0:00:00,3
332,9/30/2015 0:00:00,2
333,10/1/2015 0:00:00,2
334,10/2/2015 0:00:00,4
335,10/3/2015 0:00:00,1
336,10/4/2015 0:00:00,2
337,10/5/2015 0:00:00,3
338,10/6/2015 0:00:00,4
339,10/7/2015 0:00:00,4
340,10/8/2015 0:00:00,2
341,10/9/2015 0:00:00,3
342,10/10/2015 0:00:00,1
343,10/11/2015 0:00:00,2
344,10/12/2015 0:00:00,1
345,10/13/2015 0:00:00,3
346,10/14/2015 0:00:00,4
347,10/15/2015 0:00:00,2
348,10/16/2015 0:00:00,2
349,10/17/2015 0:00:00,1
350,10/18/2015 0:00:00,2
351,10/19/2015 0:00:00,2
352,10/20/2015 0:00:00,2
353,10/21/2015 0:00:00,1
354,10/22/2015 0:00:00,3
355,10/23/2015 0:00:00,4
356,10/24/2015 0:00:00,4
357,10/25/2015 0:00:00,3
358,10/26/2015 0:00:00,4
359,10/27/2015 0:00:00,2
360,10/28/2015 0:00:00,2
361,10/29/2015 0:00:00,4
362,10/30/2015 0:00:00,2
363,10/31/2015 0:00:00,3
364,11/1/2015 0:00:00,1
365,11/2/2015 0:00:00,4
366,11/3/2015 0:00:00,5
367,11/4/2015 0:00:00,3
368,11/5/2015 0:00:00,2
369,11/6/2015 0:00:00,3
370,11/7/2015 0:00:00,5
371,11/8/2015 0:00:00,2
372,11/9/2015 0:00:00,4
373,11/10/2015 0:00:00,2
