"ID","Time","Score"
1,11/3/2014 0:00:00,3
2,11/4/2014 0:00:00,3
3,11/5/2014 0:00:00,6
4,11/6/2014 0:00:00,5
5,11/7/2014 0:00:00,4
6,11/8/2014 0:00:00,5
7,11/9/2014 0:00:00,8
8,11/10/2014 0:00:00,6
9,11/11/2014 0:00:00,4
10,11/12/2014 0:00:00,7
11,11/13/2014 0:00:00,6
12,11/14/2014 0:00:00,6
13,11/15/2014 0:00:00,3
14,11/16/2014 0:00:00,5
15,11/17/2014 0:00:00,7
16,11/18/2014 0:00:00,3
17,11/19/2014 0:00:00,3
18,11/20/2014 0:00:00,4
19,11/21/2014 0:00:00,6
20,11/22/2014 0:00:00,7
21,11/23/2014 0:00:00,6
22,11/24/2014 0:00:00,6
23,11/25/2014 0:00:00,4
24,11/26/2014 0:00:00,2
25,11/27/2014 0:00:00,5
26,11/28/2014 0:00:00,3
27,11/29/2014 0:00:00,4
28,11/30/2014 0:00:00,7
29,12/1/2014 0:00:00,3
30,12/2/2014 0:00:00,7
31,12/3/2014 0:00:00,3
32,12/4/2014 0:00:00,3
33,12/5/2014 0:00:00,5
34,12/6/2014 0:00:00,4
35,12/7/2014 0:00:00,4
36,12/8/2014 0:00:00,5
37,12/9/2014 0:00:00,4
38,12/10/2014 0:00:00,7
39,12/11/2014 0:00:00,5
40,12/12/2014 0:00:00,7
41,12/13/2014 0:00:00,4
42,12/14/2014 0:00:00,6
43,12/15/2014 0:00:00,2
44,12/16/2014 0:00:00,7
45,12/17/2014 0:00:00,6
46,12/18/2014 0:00:00,6
47,12/19/2014 0:00:00,4
48,12/20/2014 0:00:00,3
49,12/21/2014 0:00:00,5
50,12/22/2014 0:00:00,7
51,12/23/2014 0:00:00,3
52,12/24/2014 0:00:00,6
53,12/25/2014 0:00:00,7
54,12/26/2014 0:00:00,3
55,12/27/2014 0:00:00,4
56,12/28/2014 0:00:00,7
57,12/29/2014 0:00:00,4
58,12/30/2014 0:00:00,5
59,12/31/2014 0:00:00,5
60,1/1/2015 0:00:00,4
61,1/2/2015 0:00:00,7
62,1/3/2015 0:00:00,7
63,1/4/2015 0:00:00,3
64,1/5/2015 0:00:00,4
65,1/6/2015 0:00:00,3
66,1/7/2015 0:00:00,2
67,1/8/2015 0:00:00,4
68,1/9/2015 0:00:00,7
69,1/10/2015 0:00:00,3
70,1/11/2015 0:00:00,2
71,1/12/2015 0:00:00,4
72,1/13/2015 0:00:00,7
73,1/14/2015 0:00:00,6
74,1/15/2015 0:00:00,2
75,1/16/2015 0:00:00,6
76,1/17/2015 0:00:00,6
77,1/18/2015 0:00:00,7
78,1/19/2015 0:00:00,2
79,1/20/2015 0:00:00,6
80,1/21/2015 0:00:00,3
81,1/22/2015 0:00:00,3
82,1/23/2015 0:00:00,8
83,1/24/2015 0:00:00,5
84,1/25/2015 0:00:00,4
85,1/26/2015 0:00:00,3
86,1/27/2015 0:00:00,6
87,1/28/2015 0:00:00,6
88,1/29/2015 0:00:00,7
89,1/30/2015 0:00:00,5
90,1/31/2015 0:00:00,6
91,2/1/2015 0:00:00,6
92,2/2/2015 0:00:00,3
93,2/3/2015 0:00:00,3
94,2/4/2015 0:00:00,3
95,2/5/2015 0:00:00,2
96,2/6/2015 0:00:00,3
97,2/7/2015 0:00:00,4
98,2/8/2015 0:00:00,2
99,2/9/2015 0:00:00,3
100,2/10/2015 0:00:00,2
101,2/11/2015 0:00:00,5
102,2/12/2015 0:00:00,3
103,2/13/2015 0:00:00,6
104,2/14/2015 0:00:00,3
105,2/15/2015 0:00:00,3
106,2/16/2015 0:00:00,3
107,2/17/2015 0:00:00,3
108,2/18/2015 0:00:00,3
109,2/19/2015 0:00:00,5
110,2/20/2015 0:00:00,7
111,2/21/2015 0:00:00,7
112,2/22/2015 0:00:00,6
113,2/23/2015 0:00:00,5
114,2/24/2015 0:00:00,4
115,2/25/2015 0:00:00,5
116,2/26/2015 0:00:00,3
117,2/27/2015 0:00:00,4
118,2/28/2015 0:00:00,7
119,3/1/2015 0:00:00,3
120,3/2/2015 0:00:00,4
121,3/3/2015 0:00:00,8
122,3/4/2015 0:00:00,7
