"ID","Time","Score"
1,11/3/2014 0:00:00,10
2,11/4/2014 0:00:00,9
3,11/5/2014 0:00:00,9
4,11/6/2014 0:00:00,10
5,11/7/2014 0:00:00,10
6,11/8/2014 0:00:00,8
7,11/9/2014 0:00:00,10
8,11/10/2014 0:00:00,9
9,11/11/2014 0:00:00,9
10,11/12/2014 0:00:00,9
11,11/13/2014 0:00:00,9
12,11/14/2014 0:00:00,10
13,11/15/2014 0:00:00,8
14,11/16/2014 0:00:00,8
15,11/17/2014 0:00:00,9
16,11/18/2014 0:00:00,8
17,11/19/2014 0:00:00,10
18,11/20/2014 0:00:00,9
19,11/21/2014 0:00:00,9
20,11/22/2014 0:00:00,9
21,11/23/2014 0:00:00,10
22,11/24/2014 0:00:00,10
23,11/25/2014 0:00:00,9
24,11/26/2014 0:00:00,9
25,11/27/2014 0:00:00,9
26,11/28/2014 0:00:00,8
27,11/29/2014 0:00:00,9
28,11/30/2014 0:00:00,9
29,12/1/2014 0:00:00,9
30,12/2/2014 0:00:00,9
31,12/3/2014 0:00:00,10
32,12/4/2014 0:00:00,10
33,12/5/2014 0:00:00,9
34,12/6/2014 0:00:00,8
35,12/7/2014 0:00:00,10
36,12/8/2014 0:00:00,9
37,12/9/2014 0:00:00,10
38,12/10/2014 0:00:00,10
39,12/11/2014 0:00:00,9
40,12/12/2014 0:00:00,9
41,12/13/2014 0:00:00,10
42,12/14/2014 0:00:00,9
43,12/15/2014 0:00:00,9
44,12/16/2014 0:00:00,8
45,12/17/2014 0:00:00,8
46,12/18/2014 0:00:00,8
47,12/19/2014 0:00:00,10
48,12/20/2014 0:00:00,10
49,12/21/2014 0:00:00,8
50,12/22/2014 0:00:00,9
51,12/23/2014 0:00:00,9
52,12/24/2014 0:00:00,6
53,12/25/2014 0:00:00,5
54,12/26/2014 0:00:00,7
55,12/27/2014 0:00:00,8
56,12/28/2014 0:00:00,7
57,12/29/2014 0:00:00,7
58,12/30/2014 0:00:00,6
59,12/31/2014 0:00:00,8
60,1/1/2015 0:00:00,5
61,1/2/2015 0:00:00,6
62,1/3/2015 0:00:00,8
63,1/4/2015 0:00:00,6
64,1/5/2015 0:00:00,5
65,1/6/2015 0:00:00,7
66,1/7/2015 0:00:00,5
67,1/8/2015 0:00:00,7
68,1/9/2015 0:00:00,6
69,1/10/2015 0:00:00,6
70,1/11/2015 0:00:00,8
71,1/12/2015 0:00:00,6
72,1/13/2015 0:00:00,5
73,1/14/2015 0:00:00,6
74,1/15/2015 0:00:00,5
75,1/16/2015 0:00:00,7
76,1/17/2015 0:00:00,6
77,1/18/2015 0:00:00,5
78,1/19/2015 0:00:00,6
79,1/20/2015 0:00:00,6
80,1/21/2015 0:00:00,7
81,1/22/2015 0:00:00,7
82,1/23/2015 0:00:00,6
83,1/24/2015 0:00:00,7
84,1/25/2015 0:00:00,8
85,1/26/2015 0:00:00,7
86,1/27/2015 0:00:00,5
87,1/28/2015 0:00:00,5
88,1/29/2015 0:00:00,7
89,1/30/2015 0:00:00,6
90,1/31/2015 0:00:00,7
91,2/1/2015 0:00:00,6
92,2/2/2015 0:00:00,7
93,2/3/2015 0:00:00,8
94,2/4/2015 0:00:00,7
95,2/5/2015 0:00:00,6
96,2/6/2015 0:00:00,6
97,2/7/2015 0:00:00,6
98,2/8/2015 0:00:00,8
99,2/9/2015 0:00:00,6
100,2/10/2015 0:00:00,5
101,2/11/2015 0:00:00,5
102,2/12/2015 0:00:00,7
103,2/13/2015 0:00:00,7
104,2/14/2015 0:00:00,7
105,2/15/2015 0:00:00,5
106,2/16/2015 0:00:00,7
107,2/17/2015 0:00:00,8
108,2/18/2015 0:00:00,6
109,2/19/2015 0:00:00,7
110,2/20/2015 0:00:00,7
111,2/21/2015 0:00:00,7
112,2/22/2015 0:00:00,7
