"ID","Time","Score"
1,11/3/2014 0:00:00,8
2,11/4/2014 0:00:00,8
3,11/5/2014 0:00:00,9
4,11/6/2014 0:00:00,7
5,11/7/2014 0:00:00,10
6,11/8/2014 0:00:00,7
7,11/9/2014 0:00:00,9
8,11/10/2014 0:00:00,6
9,11/11/2014 0:00:00,7
10,11/12/2014 0:00:00,9
11,11/13/2014 0:00:00,8
12,11/14/2014 0:00:00,7
13,11/15/2014 0:00:00,9
14,11/16/2014 0:00:00,7
15,11/17/2014 0:00:00,7
16,11/18/2014 0:00:00,9
17,11/19/2014 0:00:00,9
18,11/20/2014 0:00:00,9
19,11/21/2014 0:00:00,8
20,11/22/2014 0:00:00,9
21,11/23/2014 0:00:00,7
22,11/24/2014 0:00:00,7
23,11/25/2014 0:00:00,8
24,11/26/2014 0:00:00,6
25,11/27/2014 0:00:00,6
26,11/28/2014 0:00:00,7
27,11/29/2014 0:00:00,7
28,11/30/2014 0:00:00,8
29,12/1/2014 0:00:00,10
30,12/2/2014 0:00:00,10
31,12/3/2014 0:00:00,8
32,12/4/2014 0:00:00,8
33,12/5/2014 0:00:00,10
34,12/6/2014 0:00:00,7
35,12/7/2014 0:00:00,10
36,12/8/2014 0:00:00,9
37,12/9/2014 0:00:00,8
38,12/10/2014 0:00:00,7
39,12/11/2014 0:00:00,9
40,12/12/2014 0:00:00,8
41,12/13/2014 0:00:00,8
42,12/14/2014 0:00:00,10
43,12/15/2014 0:00:00,7
44,12/16/2014 0:00:00,9
45,12/17/2014 0:00:00,10
46,12/18/2014 0:00:00,7
47,12/19/2014 0:00:00,8
48,12/20/2014 0:00:00,7
49,12/21/2014 0:00:00,7
50,12/22/2014 0:00:00,8
51,12/23/2014 0:00:00,6
52,12/24/2014 0:00:00,10
53,12/25/2014 0:00:00,8
54,12/26/2014 0:00:00,9
55,12/27/2014 0:00:00,8
56,12/28/2014 0:00:00,9
57,12/29/2014 0:00:00,9
58,12/30/2014 0:00:00,6
59,12/31/2014 0:00:00,7
60,1/1/2015 0:00:00,7
61,1/2/2015 0:00:00,7
62,1/3/2015 0:00:00,8
63,1/4/2015 0:00:00,7
64,1/5/2015 0:00:00,7
65,1/6/2015 0:00:00,8
66,1/7/2015 0:00:00,8
67,1/8/2015 0:00:00,10
68,1/9/2015 0:00:00,8
69,1/10/2015 0:00:00,9
70,1/11/2015 0:00:00,7
71,1/12/2015 0:00:00,7
72,1/13/2015 0:00:00,9
73,1/14/2015 0:00:00,7
74,1/15/2015 0:00:00,9
75,1/16/2015 0:00:00,9
76,1/17/2015 0:00:00,6
77,1/18/2015 0:00:00,7
78,1/19/2015 0:00:00,7
79,1/20/2015 0:00:00,8
80,1/21/2015 0:00:00,7
81,1/22/2015 0:00:00,9
82,1/23/2015 0:00:00,9
83,1/24/2015 0:00:00,9
84,1/25/2015 0:00:00,7
85,1/26/2015 0:00:00,10
86,1/27/2015 0:00:00,7
87,1/28/2015 0:00:00,9
88,1/29/2015 0:00:00,6
89,1/30/2015 0:00:00,8
90,1/31/2015 0:00:00,7
91,2/1/2015 0:00:00,10
92,2/2/2015 0:00:00,9
93,2/3/2015 0:00:00,10
94,2/4/2015 0:00:00,7
95,2/5/2015 0:00:00,8
96,2/6/2015 0:00:00,7
97,2/7/2015 0:00:00,7
98,2/8/2015 0:00:00,9
99,2/9/2015 0:00:00,8
100,2/10/2015 0:00:00,9
101,2/11/2015 0:00:00,7
102,2/12/2015 0:00:00,8
103,2/13/2015 0:00:00,8
104,2/14/2015 0:00:00,8
105,2/15/2015 0:00:00,8
106,2/16/2015 0:00:00,10
107,2/17/2015 0:00:00,10
108,2/18/2015 0:00:00,7
109,2/19/2015 0:00:00,9
110,2/20/2015 0:00:00,9
111,2/21/2015 0:00:00,9
112,2/22/2015 0:00:00,7
113,2/23/2015 0:00:00,10
114,2/24/2015 0:00:00,8
115,2/25/2015 0:00:00,9
116,2/26/2015 0:00:00,8
117,2/27/2015 0:00:00,10
118,2/28/2015 0:00:00,7
119,3/1/2015 0:00:00,9
120,3/2/2015 0:00:00,7
121,3/3/2015 0:00:00,10
122,3/4/2015 0:00:00,6
123,3/5/2015 0:00:00,6
124,3/6/2015 0:00:00,7
125,3/7/2015 0:00:00,6
126,3/8/2015 0:00:00,6
127,3/9/2015 0:00:00,8
128,3/10/2015 0:00:00,8
129,3/11/2015 0:00:00,9
130,3/12/2015 0:00:00,7
131,3/13/2015 0:00:00,7
132,3/14/2015 0:00:00,7
133,3/15/2015 0:00:00,10
134,3/16/2015 0:00:00,7
135,3/17/2015 0:00:00,10
136,3/18/2015 0:00:00,8
137,3/19/2015 0:00:00,7
138,3/20/2015 0:00:00,9
139,3/21/2015 0:00:00,7
140,3/22/2015 0:00:00,8
141,3/23/2015 0:00:00,8
142,3/24/2015 0:00:00,10
143,3/25/2015 0:00:00,7
144,3/26/2015 0:00:00,7
145,3/27/2015 0:00:00,7
146,3/28/2015 0:00:00,8
147,3/29/2015 0:00:00,7
148,3/30/2015 0:00:00,6
149,3/31/2015 0:00:00,7
150,4/1/2015 0:00:00,8
151,4/2/2015 0:00:00,8
152,4/3/2015 0:00:00,8
153,4/4/2015 0:00:00,6
154,4/5/2015 0:00:00,8
155,4/6/2015 0:00:00,10
156,4/7/2015 0:00:00,7
157,4/8/2015 0:00:00,8
158,4/9/2015 0:00:00,7
159,4/10/2015 0:00:00,10
160,4/11/2015 0:00:00,8
161,4/12/2015 0:00:00,6
162,4/13/2015 0:00:00,6
163,4/14/2015 0:00:00,10
164,4/15/2015 0:00:00,8
165,4/16/2015 0:00:00,10
166,4/17/2015 0:00:00,6
167,4/18/2015 0:00:00,6
168,4/19/2015 0:00:00,6
169,4/20/2015 0:00:00,7
170,4/21/2015 0:00:00,7
171,4/22/2015 0:00:00,7
172,4/23/2015 0:00:00,7
173,4/24/2015 0:00:00,9
174,4/25/2015 0:00:00,8
175,4/26/2015 0:00:00,8
176,4/27/2015 0:00:00,8
177,4/28/2015 0:00:00,10
178,4/29/2015 0:00:00,9
179,4/30/2015 0:00:00,6
180,5/1/2015 0:00:00,10
181,5/2/2015 0:00:00,9
182,5/3/2015 0:00:00,9
183,5/4/2015 0:00:00,8
184,5/5/2015 0:00:00,9
185,5/6/2015 0:00:00,9
186,5/7/2015 0:00:00,9
187,5/8/2015 0:00:00,7
188,5/9/2015 0:00:00,9
189,5/10/2015 0:00:00,9
190,5/11/2015 0:00:00,8
191,5/12/2015 0:00:00,6
192,5/13/2015 0:00:00,8
193,5/14/2015 0:00:00,7
194,5/15/2015 0:00:00,9
195,5/16/2015 0:00:00,9
196,5/17/2015 0:00:00,7
197,5/18/2015 0:00:00,7
198,5/19/2015 0:00:00,7
199,5/20/2015 0:00:00,8
200,5/21/2015 0:00:00,7
201,5/22/2015 0:00:00,9
202,5/23/2015 0:00:00,8
203,5/24/2015 0:00:00,6
204,5/25/2015 0:00:00,8
205,5/26/2015 0:00:00,10
206,5/27/2015 0:00:00,6
207,5/28/2015 0:00:00,7
208,5/29/2015 0:00:00,7
209,5/30/2015 0:00:00,8
210,5/31/2015 0:00:00,7
211,6/1/2015 0:00:00,7
212,6/2/2015 0:00:00,9
213,6/3/2015 0:00:00,8
214,6/4/2015 0:00:00,8
215,6/5/2015 0:00:00,7
216,6/6/2015 0:00:00,9
217,6/7/2015 0:00:00,8
218,6/8/2015 0:00:00,7
219,6/9/2015 0:00:00,6
220,6/10/2015 0:00:00,8
221,6/11/2015 0:00:00,9
222,6/12/2015 0:00:00,9
223,6/13/2015 0:00:00,9
224,6/14/2015 0:00:00,9
225,6/15/2015 0:00:00,8
226,6/16/2015 0:00:00,7
227,6/17/2015 0:00:00,7
228,6/18/2015 0:00:00,8
229,6/19/2015 0:00:00,9
230,6/20/2015 0:00:00,7
231,6/21/2015 0:00:00,7
232,6/22/2015 0:00:00,8
233,6/23/2015 0:00:00,8
234,6/24/2015 0:00:00,10
235,6/25/2015 0:00:00,7
236,6/26/2015 0:00:00,7
237,6/27/2015 0:00:00,9
238,6/28/2015 0:00:00,8
239,6/29/2015 0:00:00,7
240,6/30/2015 0:00:00,7
241,7/1/2015 0:00:00,8
242,7/2/2015 0:00:00,7
243,7/3/2015 0:00:00,9
244,7/4/2015 0:00:00,9
245,7/5/2015 0:00:00,10
246,7/6/2015 0:00:00,7
247,7/7/2015 0:00:00,10
248,7/8/2015 0:00:00,8
249,7/9/2015 0:00:00,8
250,7/10/2015 0:00:00,6
251,7/11/2015 0:00:00,8
252,7/12/2015 0:00:00,8
253,7/13/2015 0:00:00,10
254,7/14/2015 0:00:00,8
255,7/15/2015 0:00:00,8
256,7/16/2015 0:00:00,9
257,7/17/2015 0:00:00,6
258,7/18/2015 0:00:00,9
259,7/19/2015 0:00:00,7
260,7/20/2015 0:00:00,8
261,7/21/2015 0:00:00,6
262,7/22/2015 0:00:00,8
263,7/23/2015 0:00:00,7
264,7/24/2015 0:00:00,9
265,7/25/2015 0:00:00,7
266,7/26/2015 0:00:00,7
267,7/27/2015 0:00:00,6
268,7/28/2015 0:00:00,6
269,7/29/2015 0:00:00,9
270,7/30/2015 0:00:00,7
271,7/31/2015 0:00:00,6
272,8/1/2015 0:00:00,7
273,8/2/2015 0:00:00,7
274,8/3/2015 0:00:00,9
275,8/4/2015 0:00:00,8
276,8/5/2015 0:00:00,9
277,8/6/2015 0:00:00,7
278,8/7/2015 0:00:00,7
279,8/8/2015 0:00:00,9
280,8/9/2015 0:00:00,9
281,8/10/2015 0:00:00,8
282,8/11/2015 0:00:00,7
283,8/12/2015 0:00:00,9
284,8/13/2015 0:00:00,8
285,8/14/2015 0:00:00,8
286,8/15/2015 0:00:00,10
287,8/16/2015 0:00:00,7
288,8/17/2015 0:00:00,6
289,8/18/2015 0:00:00,10
290,8/19/2015 0:00:00,8
291,8/20/2015 0:00:00,9
292,8/21/2015 0:00:00,6
293,8/22/2015 0:00:00,9
294,8/23/2015 0:00:00,8
295,8/24/2015 0:00:00,7
296,8/25/2015 0:00:00,7
297,8/26/2015 0:00:00,9
298,8/27/2015 0:00:00,9
299,8/28/2015 0:00:00,8
