"ID","Time","Score"
1,11/3/2014 0:00:00,9
2,11/4/2014 0:00:00,9
3,11/5/2014 0:00:00,9
4,11/6/2014 0:00:00,9
5,11/7/2014 0:00:00,9
6,11/8/2014 0:00:00,10
7,11/9/2014 0:00:00,10
8,11/10/2014 0:00:00,9
9,11/11/2014 0:00:00,10
10,11/12/2014 0:00:00,9
11,11/13/2014 0:00:00,10
12,11/14/2014 0:00:00,9
13,11/15/2014 0:00:00,9
14,11/16/2014 0:00:00,9
15,11/17/2014 0:00:00,10
16,11/18/2014 0:00:00,9
17,11/19/2014 0:00:00,9
18,11/20/2014 0:00:00,10
19,11/21/2014 0:00:00,10
20,11/22/2014 0:00:00,10
21,11/23/2014 0:00:00,9
22,11/24/2014 0:00:00,10
23,11/25/2014 0:00:00,9
24,11/26/2014 0:00:00,9
25,11/27/2014 0:00:00,9
26,11/28/2014 0:00:00,10
27,11/29/2014 0:00:00,10
28,11/30/2014 0:00:00,10
29,12/1/2014 0:00:00,10
30,12/2/2014 0:00:00,10
31,12/3/2014 0:00:00,10
32,12/4/2014 0:00:00,9
33,12/5/2014 0:00:00,10
34,12/6/2014 0:00:00,9
35,12/7/2014 0:00:00,10
36,12/8/2014 0:00:00,10
37,12/9/2014 0:00:00,10
38,12/10/2014 0:00:00,9
39,12/11/2014 0:00:00,9
40,12/12/2014 0:00:00,9
41,12/13/2014 0:00:00,9
42,12/14/2014 0:00:00,10
43,12/15/2014 0:00:00,9
44,12/16/2014 0:00:00,9
45,12/17/2014 0:00:00,10
46,12/18/2014 0:00:00,9
47,12/19/2014 0:00:00,9
48,12/20/2014 0:00:00,10
49,12/21/2014 0:00:00,9
50,12/22/2014 0:00:00,10
51,12/23/2014 0:00:00,10
52,12/24/2014 0:00:00,10
53,12/25/2014 0:00:00,9
54,12/26/2014 0:00:00,10
55,12/27/2014 0:00:00,10
56,12/28/2014 0:00:00,9
57,12/29/2014 0:00:00,9
58,12/30/2014 0:00:00,10
59,12/31/2014 0:00:00,9
60,1/1/2015 0:00:00,9
61,1/2/2015 0:00:00,9
62,1/3/2015 0:00:00,10
63,1/4/2015 0:00:00,9
64,1/5/2015 0:00:00,10
65,1/6/2015 0:00:00,9
66,1/7/2015 0:00:00,9
67,1/8/2015 0:00:00,9
68,1/9/2015 0:00:00,9
