"ID","Time","Score"
1,11/3/2014 0:00:00,6
2,11/4/2014 0:00:00,6
3,11/5/2014 0:00:00,9
4,11/6/2014 0:00:00,8
5,11/7/2014 0:00:00,9
6,11/8/2014 0:00:00,9
7,11/9/2014 0:00:00,9
8,11/10/2014 0:00:00,7
9,11/11/2014 0:00:00,9
10,11/12/2014 0:00:00,7
11,11/13/2014 0:00:00,6
12,11/14/2014 0:00:00,5
13,11/15/2014 0:00:00,8
14,11/16/2014 0:00:00,7
15,11/17/2014 0:00:00,6
16,11/18/2014 0:00:00,9
17,11/19/2014 0:00:00,7
18,11/20/2014 0:00:00,8
19,11/21/2014 0:00:00,7
20,11/22/2014 0:00:00,9
21,11/23/2014 0:00:00,9
22,11/24/2014 0:00:00,5
23,11/25/2014 0:00:00,6
24,11/26/2014 0:00:00,6
25,11/27/2014 0:00:00,10
26,11/28/2014 0:00:00,6
27,11/29/2014 0:00:00,9
28,11/30/2014 0:00:00,7
29,12/1/2014 0:00:00,9
30,12/2/2014 0:00:00,8
31,12/3/2014 0:00:00,8
32,12/4/2014 0:00:00,8
33,12/5/2014 0:00:00,9
34,12/6/2014 0:00:00,7
35,12/7/2014 0:00:00,9
36,12/8/2014 0:00:00,8
37,12/9/2014 0:00:00,10
38,12/10/2014 0:00:00,6
39,12/11/2014 0:00:00,7
40,12/12/2014 0:00:00,5
41,12/13/2014 0:00:00,6
42,12/14/2014 0:00:00,6
43,12/15/2014 0:00:00,6
44,12/16/2014 0:00:00,7
45,12/17/2014 0:00:00,5
46,12/18/2014 0:00:00,7
47,12/19/2014 0:00:00,7
48,12/20/2014 0:00:00,6
49,12/21/2014 0:00:00,7
50,12/22/2014 0:00:00,7
51,12/23/2014 0:00:00,5
52,12/24/2014 0:00:00,6
53,12/25/2014 0:00:00,6
54,12/26/2014 0:00:00,7
55,12/27/2014 0:00:00,6
56,12/28/2014 0:00:00,6
57,12/29/2014 0:00:00,6
58,12/30/2014 0:00:00,7
59,12/31/2014 0:00:00,7
60,1/1/2015 0:00:00,6
61,1/2/2015 0:00:00,5
62,1/3/2015 0:00:00,5
63,1/4/2015 0:00:00,5
64,1/5/2015 0:00:00,7
65,1/6/2015 0:00:00,6
66,1/7/2015 0:00:00,5
67,1/8/2015 0:00:00,5
68,1/9/2015 0:00:00,6
69,1/10/2015 0:00:00,7
70,1/11/2015 0:00:00,5
71,1/12/2015 0:00:00,6
72,1/13/2015 0:00:00,7
73,1/14/2015 0:00:00,6
74,1/15/2015 0:00:00,5
75,1/16/2015 0:00:00,6
76,1/17/2015 0:00:00,5
77,1/18/2015 0:00:00,6
78,1/19/2015 0:00:00,6
79,1/20/2015 0:00:00,5
80,1/21/2015 0:00:00,6
81,1/22/2015 0:00:00,7
82,1/23/2015 0:00:00,7
83,1/24/2015 0:00:00,7
84,1/25/2015 0:00:00,5
85,1/26/2015 0:00:00,6
86,1/27/2015 0:00:00,6
87,1/28/2015 0:00:00,7
88,1/29/2015 0:00:00,6
89,1/30/2015 0:00:00,6
90,1/31/2015 0:00:00,6
91,2/1/2015 0:00:00,7
92,2/2/2015 0:00:00,7
93,2/3/2015 0:00:00,6
94,2/4/2015 0:00:00,5
95,2/5/2015 0:00:00,6
96,2/6/2015 0:00:00,6
97,2/7/2015 0:00:00,7
98,2/8/2015 0:00:00,7
99,2/9/2015 0:00:00,7
100,2/10/2015 0:00:00,5
101,2/11/2015 0:00:00,6
102,2/12/2015 0:00:00,7
103,2/13/2015 0:00:00,7
104,2/14/2015 0:00:00,7
105,2/15/2015 0:00:00,6
106,2/16/2015 0:00:00,7
107,2/17/2015 0:00:00,7
108,2/18/2015 0:00:00,6
109,2/19/2015 0:00:00,6
110,2/20/2015 0:00:00,7
111,2/21/2015 0:00:00,6
112,2/22/2015 0:00:00,7
113,2/23/2015 0:00:00,6
114,2/24/2015 0:00:00,6
115,2/25/2015 0:00:00,7
116,2/26/2015 0:00:00,7
117,2/27/2015 0:00:00,6
118,2/28/2015 0:00:00,5
119,3/1/2015 0:00:00,5
120,3/2/2015 0:00:00,6
121,3/3/2015 0:00:00,6
122,3/4/2015 0:00:00,6
123,3/5/2015 0:00:00,6
124,3/6/2015 0:00:00,6
125,3/7/2015 0:00:00,6
126,3/8/2015 0:00:00,6
127,3/9/2015 0:00:00,6
128,3/10/2015 0:00:00,6
129,3/11/2015 0:00:00,6
130,3/12/2015 0:00:00,6
131,3/13/2015 0:00:00,6
132,3/14/2015 0:00:00,6
133,3/15/2015 0:00:00,5
134,3/16/2015 0:00:00,7
135,3/17/2015 0:00:00,6
136,3/18/2015 0:00:00,6
137,3/19/2015 0:00:00,7
138,3/20/2015 0:00:00,5
139,3/21/2015 0:00:00,7
140,3/22/2015 0:00:00,6
141,3/23/2015 0:00:00,5
142,3/24/2015 0:00:00,4
143,3/25/2015 0:00:00,5
144,3/26/2015 0:00:00,5
145,3/27/2015 0:00:00,3
146,3/28/2015 0:00:00,3
147,3/29/2015 0:00:00,4
148,3/30/2015 0:00:00,4
149,3/31/2015 0:00:00,4
150,4/1/2015 0:00:00,4
151,4/2/2015 0:00:00,5
152,4/3/2015 0:00:00,3
153,4/4/2015 0:00:00,4
154,4/5/2015 0:00:00,4
155,4/6/2015 0:00:00,4
156,4/7/2015 0:00:00,5
157,4/8/2015 0:00:00,5
158,4/9/2015 0:00:00,5
159,4/10/2015 0:00:00,3
160,4/11/2015 0:00:00,5
161,4/12/2015 0:00:00,4
162,4/13/2015 0:00:00,4
163,4/14/2015 0:00:00,3
164,4/15/2015 0:00:00,3
165,4/16/2015 0:00:00,3
166,4/17/2015 0:00:00,5
167,4/18/2015 0:00:00,4
168,4/19/2015 0:00:00,5
169,4/20/2015 0:00:00,4
170,4/21/2015 0:00:00,3
171,4/22/2015 0:00:00,3
172,4/23/2015 0:00:00,5
173,4/24/2015 0:00:00,5
174,4/25/2015 0:00:00,4
175,4/26/2015 0:00:00,3
176,4/27/2015 0:00:00,4
177,4/28/2015 0:00:00,3
178,4/29/2015 0:00:00,5
179,4/30/2015 0:00:00,5
180,5/1/2015 0:00:00,4
181,5/2/2015 0:00:00,4
182,5/3/2015 0:00:00,4
183,5/4/2015 0:00:00,4
184,5/5/2015 0:00:00,4
185,5/6/2015 0:00:00,4
186,5/7/2015 0:00:00,3
187,5/8/2015 0:00:00,4
188,5/9/2015 0:00:00,3
189,5/10/2015 0:00:00,4
190,5/11/2015 0:00:00,3
191,5/12/2015 0:00:00,5
192,5/13/2015 0:00:00,4
193,5/14/2015 0:00:00,4
194,5/15/2015 0:00:00,5
195,5/16/2015 0:00:00,5
196,5/17/2015 0:00:00,3
197,5/18/2015 0:00:00,4
198,5/19/2015 0:00:00,4
199,5/20/2015 0:00:00,5
200,5/21/2015 0:00:00,3
201,5/22/2015 0:00:00,5
202,5/23/2015 0:00:00,4
203,5/24/2015 0:00:00,4
204,5/25/2015 0:00:00,3
205,5/26/2015 0:00:00,5
206,5/27/2015 0:00:00,3
207,5/28/2015 0:00:00,4
208,5/29/2015 0:00:00,4
209,5/30/2015 0:00:00,4
210,5/31/2015 0:00:00,5
211,6/1/2015 0:00:00,4
212,6/2/2015 0:00:00,3
213,6/3/2015 0:00:00,5
214,6/4/2015 0:00:00,5
215,6/5/2015 0:00:00,3
216,6/6/2015 0:00:00,4
217,6/7/2015 0:00:00,5
218,6/8/2015 0:00:00,4
219,6/9/2015 0:00:00,4
220,6/10/2015 0:00:00,5
221,6/11/2015 0:00:00,4
222,6/12/2015 0:00:00,4
223,6/13/2015 0:00:00,5
224,6/14/2015 0:00:00,3
225,6/15/2015 0:00:00,5
226,6/16/2015 0:00:00,5
227,6/17/2015 0:00:00,4
228,6/18/2015 0:00:00,5
229,6/19/2015 0:00:00,4
230,6/20/2015 0:00:00,4
231,6/21/2015 0:00:00,5
232,6/22/2015 0:00:00,5
233,6/23/2015 0:00:00,3
234,6/24/2015 0:00:00,3
235,6/25/2015 0:00:00,4
236,6/26/2015 0:00:00,4
237,6/27/2015 0:00:00,5
238,6/28/2015 0:00:00,4
239,6/29/2015 0:00:00,5
240,6/30/2015 0:00:00,5
241,7/1/2015 0:00:00,3
242,7/2/2015 0:00:00,4
243,7/3/2015 0:00:00,3
244,7/4/2015 0:00:00,3
245,7/5/2015 0:00:00,3
246,7/6/2015 0:00:00,5
247,7/7/2015 0:00:00,4
248,7/8/2015 0:00:00,3
249,7/9/2015 0:00:00,5
250,7/10/2015 0:00:00,4
251,7/11/2015 0:00:00,5
252,7/12/2015 0:00:00,4
253,7/13/2015 0:00:00,5
254,7/14/2015 0:00:00,3
255,7/15/2015 0:00:00,3
256,7/16/2015 0:00:00,5
257,7/17/2015 0:00:00,4
258,7/18/2015 0:00:00,4
259,7/19/2015 0:00:00,4
260,7/20/2015 0:00:00,5
261,7/21/2015 0:00:00,3
262,7/22/2015 0:00:00,4
263,7/23/2015 0:00:00,4
264,7/24/2015 0:00:00,3
265,7/25/2015 0:00:00,4
266,7/26/2015 0:00:00,3
267,7/27/2015 0:00:00,5
268,7/28/2015 0:00:00,5
269,7/29/2015 0:00:00,5
270,7/30/2015 0:00:00,4
271,7/31/2015 0:00:00,4
272,8/1/2015 0:00:00,4
273,8/2/2015 0:00:00,3
274,8/3/2015 0:00:00,4
275,8/4/2015 0:00:00,5
276,8/5/2015 0:00:00,4
277,8/6/2015 0:00:00,4
278,8/7/2015 0:00:00,3
279,8/8/2015 0:00:00,3
280,8/9/2015 0:00:00,5
281,8/10/2015 0:00:00,3
282,8/11/2015 0:00:00,4
283,8/12/2015 0:00:00,3
284,8/13/2015 0:00:00,3
285,8/14/2015 0:00:00,4
286,8/15/2015 0:00:00,4
287,8/16/2015 0:00:00,5
288,8/17/2015 0:00:00,4
289,8/18/2015 0:00:00,4
290,8/19/2015 0:00:00,4
291,8/20/2015 0:00:00,3
292,8/21/2015 0:00:00,5
293,8/22/2015 0:00:00,4
294,8/23/2015 0:00:00,4
295,8/24/2015 0:00:00,4
296,8/25/2015 0:00:00,4
297,8/26/2015 0:00:00,5
298,8/27/2015 0:00:00,4
299,8/28/2015 0:00:00,4
300,8/29/2015 0:00:00,3
301,8/30/2015 0:00:00,5
302,8/31/2015 0:00:00,3
303,9/1/2015 0:00:00,4
304,9/2/2015 0:00:00,5
305,9/3/2015 0:00:00,4
306,9/4/2015 0:00:00,4
307,9/5/2015 0:00:00,3
308,9/6/2015 0:00:00,4
309,9/7/2015 0:00:00,5
310,9/8/2015 0:00:00,5
311,9/9/2015 0:00:00,3
312,9/10/2015 0:00:00,4
313,9/11/2015 0:00:00,5
314,9/12/2015 0:00:00,4
